ImageNumber,Drug,Time,ID,Pathology,ScanFreq,Run,Label,Stain,Center_X,Center_Y,Lifetime
17,ATG,24hr,3241,Thrombosis,10.26,1,26,mLy6G,353.07,400.42,17
18,ATG,24hr,3241,Thrombosis,10.26,1,26,mLy6G,352.8989898989899,400.6363636363636,18
19,ATG,24hr,3241,Thrombosis,10.26,1,26,mLy6G,353.2156862745098,401.29411764705884,19
20,ATG,24hr,3241,Thrombosis,10.26,1,26,mLy6G,353.2421052631579,402,20
21,ATG,24hr,3241,Thrombosis,10.26,1,26,mLy6G,352.9111111111111,402.06666666666666,21
22,ATG,24hr,3241,Thrombosis,10.26,1,26,mLy6G,353.2696629213483,402.3707865168539,22
23,ATG,24hr,3241,Thrombosis,10.26,1,26,mLy6G,353.9313725490196,402.67647058823525,23
24,ATG,24hr,3241,Thrombosis,10.26,1,26,mLy6G,354.13084112149534,402.3644859813084,24
25,ATG,24hr,3241,Thrombosis,10.26,1,26,mLy6G,353.8018867924528,401.68867924528297,25
26,ATG,24hr,3241,Thrombosis,10.26,1,26,mLy6G,353.0980392156863,401.20588235294116,26
27,ATG,24hr,3241,Thrombosis,10.26,1,26,mLy6G,352.5,401.0625,27
28,ATG,24hr,3241,Thrombosis,10.26,1,26,mLy6G,352.16346153846155,401.0961538461538,28
29,ATG,24hr,3241,Thrombosis,10.26,1,26,mLy6G,351.75,400.9537037037037,29
30,ATG,24hr,3241,Thrombosis,10.26,1,26,mLy6G,351.327731092437,401.1260504201681,30
1,ATG,24hr,3241,Thrombosis,10.26,1,27,mLy6G,155.69387755102042,396.734693877551,1
2,ATG,24hr,3241,Thrombosis,10.26,1,27,mLy6G,154.71428571428572,397.6530612244898,2
3,ATG,24hr,3241,Thrombosis,10.26,1,27,mLy6G,153.92,397.34000000000003,3
4,ATG,24hr,3241,Thrombosis,10.26,1,27,mLy6G,153.82692307692307,397.0192307692308,4
5,ATG,24hr,3241,Thrombosis,10.26,1,27,mLy6G,154.22448979591837,396.8979591836735,5
6,ATG,24hr,3241,Thrombosis,10.26,1,27,mLy6G,155.1904761904762,397.1428571428571,6
7,ATG,24hr,3241,Thrombosis,10.26,1,27,mLy6G,155,397.4761904761905,7
8,ATG,24hr,3241,Thrombosis,10.26,1,27,mLy6G,154.60526315789474,397.6842105263158,8
9,ATG,24hr,3241,Thrombosis,10.26,1,27,mLy6G,153.57142857142858,398.1142857142857,9
10,ATG,24hr,3241,Thrombosis,10.26,1,27,mLy6G,153.24,398.24,10
11,ATG,24hr,3241,Thrombosis,10.26,1,27,mLy6G,153.16129032258064,398.48387096774195,11
12,ATG,24hr,3241,Thrombosis,10.26,1,27,mLy6G,153.6,398.04,12
